"player","score of PapadopoulosReimplementation","score of AbaProReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"PapadopoulosReimplementation","4","2","1495","52917","46853","1976","4","0","0","0","0","28","9","21","8"
"AbaProReimplementation","4","2","1373","43471","35882","-197","4","0","0","0","0","24","24","12","5"
"PapadopoulosReimplementation","4","2","1254","47952","43927","1982","4","0","0","0","0","30","5","22","11"
"AbaProReimplementation","4","2","1525","43814","35501","-194","4","0","0","0","0","31","16","15","4"
"PapadopoulosReimplementation","4","2","6775","270514","251065","1990","4","0","0","0","0","37","22","22","13"
"AbaProReimplementation","4","2","260","5970","4507","-196","4","0","0","0","0","28","3","15","3"
"PapadopoulosReimplementation","4","2","3669","112886","97525","1970","4","0","0","0","0","37","23","16","6"
"AbaProReimplementation","4","2","635","27752","23964","-187","4","0","0","0","0","27","14","8","7"
"PapadopoulosReimplementation","4","2","4992","139480","119242","1960","4","0","0","0","0","40","23","20","6"
"AbaProReimplementation","4","2","533","21293","18206","-190","4","0","0","0","0","23","12","9","6"
"PapadopoulosReimplementation","4","2","4407","116274","97849","1888","4","0","0","0","0","34","20","25","5"
"AbaProReimplementation","4","3","345","11066","9102","-187","4","0","0","0","0","25","6","11","5"
"PapadopoulosReimplementation","5","3","1927","48274","36141","1262","4","0","0","0","0","38","11","25","3"
"AbaProReimplementation","5","3","467","16555","13503","-190","4","0","0","0","0","25","8","13","4"
"PapadopoulosReimplementation","5","3","2795","82920","70431","1862","4","0","0","0","0","40","13","21","5"
"AbaProReimplementation","5","3","1222","50128","42915","-187","4","0","0","0","0","27","15","15","6"
"PapadopoulosReimplementation","5","3","9046","351994","321639","1868","4","0","0","0","0","46","21","29","10"
"AbaProReimplementation","5","3","1732","73836","63047","-185","4","0","0","0","0","31","21","15","6"
"PapadopoulosReimplementation","5","3","10389","367114","327661","1868","4","0","0","0","0","45","24","35","8"
"AbaProReimplementation","5","3","1103","54277","47532","-187","4","0","0","0","0","25","21","11","7"
"PapadopoulosReimplementation","5","3","5059","172294","148984","1848","4","0","0","0","0","42","16","33","6"
"AbaProReimplementation","5","3","692","28043","23629","-190","4","0","0","0","0","30","9","14","5"
"PapadopoulosReimplementation","5","3","9130","318343","283019","1868","4","0","0","0","0","45","23","32","8"
"AbaProReimplementation","5","3","1833","90177","78794","-187","4","0","0","0","0","26","29","13","7"
"PapadopoulosReimplementation","5","3","4978","171510","148880","1840","4","0","0","0","0","44","14","34","6"
"AbaProReimplementation","5","3","1037","44341","37777","-189","4","0","0","0","0","26","16","14","6"
"PapadopoulosReimplementation","5","3","5603","189154","166286","1858","4","0","0","0","0","38","20","28","7"
"AbaProReimplementation","5","3","1848","79224","68590","-187","4","0","0","0","0","28","28","12","6"
"PapadopoulosReimplementation","5","3","14277","521815","466490","1872","4","0","0","0","0","51","25","40","8"
"AbaProReimplementation","5","3","276","8053","6338","-188","4","0","0","0","0","32","2","18","3"
"PapadopoulosReimplementation","5","3","8296","274797","240137","1870","4","0","0","0","0","49","21","31","7"
"AbaProReimplementation","5","3","1108","55543","48845","-186","4","0","0","0","0","27","20","10","7"
"PapadopoulosReimplementation","5","3","5459","192528","168656","1882","4","0","0","0","0","43","16","32","7"
"AbaProReimplementation","5","3","886","38483","32937","-187","4","0","0","0","0","26","14","13","6"
"PapadopoulosReimplementation","5","3","9014","323077","289607","1860","4","0","0","0","0","46","23","30","8"
"AbaProReimplementation","5","3","1349","55028","47195","-188","4","0","0","0","0","27","17","15","6"
"PapadopoulosReimplementation","5","3","7400","269968","243492","1876","4","0","0","0","0","45","20","27","9"
"AbaProReimplementation","5","3","808","35062","30776","-189","4","0","0","0","0","26","12","12","7"
"PapadopoulosReimplementation","5","3","5559","194163","173159","1880","4","0","0","0","0","46","17","24","8"
"AbaProReimplementation","5","3","567","0","0","0","0","0","0","0","0"
"PapadopoulosReimplementation","6","3","63","1044","860","1838","4","0","0","0","0","44","1","1","12"
