"player","score of ConsiderSelfOnly","score of CondiserEnemyPosition","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"ConsiderSelfOnly","0","0","3136","35502","27872","-30","4","0","0","0","0","58","4","26","3"
"CondiserEnemyPosition","0","0","75540","915930","746370","88","4","0","0","0","0","74","33","66","4"
"ConsiderSelfOnly","0","0","3000","38099","30856","-32","4","0","0","0","0","51","6","21","4"
"CondiserEnemyPosition","0","0","88767","1149469","955894","88","4","0","0","0","0","69","44","61","5"
"ConsiderSelfOnly","0","0","2584","31111","24874","-30","4","0","0","0","0","57","4","23","4"
"CondiserEnemyPosition","0","0","72645","881061","718907","90","4","0","0","0","0","69","36","63","4"
"ConsiderSelfOnly","0","0","2662","36618","30377","-32","4","0","0","0","0","52","6","17","5"
"CondiserEnemyPosition","0","0","77309","988938","817892","80","4","0","0","0","0","70","39","61","4"
"ConsiderSelfOnly","0","0","3022","36470","29303","-30","4","0","0","0","0","58","5","23","4"
"CondiserEnemyPosition","0","0","67702","810909","658230","88","4","0","0","0","0","73","31","65","4"
"ConsiderSelfOnly","0","0","2805","38395","31760","-32","4","0","0","0","0","52","6","18","5"
"CondiserEnemyPosition","0","0","87871","1125878","932525","74","4","0","0","0","0","74","41","61","4"
"ConsiderSelfOnly","0","0","2759","34738","28284","-30","4","0","0","0","0","57","4","23","4"
"CondiserEnemyPosition","0","0","91985","1194435","996437","90","4","0","0","0","0","75","38","67","5"
"ConsiderSelfOnly","0","0","3007","43531","36698","-32","4","0","0","0","0","51","7","17","5"
"CondiserEnemyPosition","0","0","125908","1732391","1466161","88","4","0","0","0","0","82","46","68","5"
"ConsiderSelfOnly","0","0","3000","38329","31073","-30","4","0","0","0","0","58","5","22","4"
"CondiserEnemyPosition","0","0","74220","884846","716137","76","4","0","0","0","0","78","30","69","4"
"ConsiderSelfOnly","0","0","2287","31957","26643","-32","4","0","0","0","0","52","5","17","5"
"CondiserEnemyPosition","0","0","93278","1209952","1007537","80","4","0","0","0","0","73","44","61","5"
"ConsiderSelfOnly","0","0","3112","38803","31406","-30","4","0","0","0","0","58","5","22","4"
"CondiserEnemyPosition","0","0","87437","1134471","944861","82","4","0","0","0","0","79","34","69","5"
"ConsiderSelfOnly","0","0","3087","41702","34317","-32","4","0","0","0","0","52","6","19","4"
"CondiserEnemyPosition","0","0","41932","515551","420588","68","4","0","0","0","0","76","19","62","4"
"ConsiderSelfOnly","0","0","13522","161032","128246","-30","4","0","0","0","0","51","22","27","4"
"CondiserEnemyPosition","0","0","34645","550158","475024","88","4","0","0","0","0","78","18","50","6"
"ConsiderSelfOnly","0","0","5367","73012","60038","-44","4","0","0","0","0","60","9","21","4"
"CondiserEnemyPosition","0","0","63415","892188","756302","42","4","0","0","0","0","75","28","63","5"
"ConsiderSelfOnly","0","0","18344","191352","146044","-6","4","0","0","0","0","62","20","34","3"
"CondiserEnemyPosition","0","0","68918","792657","636286","56","4","0","0","0","0","74","32","63","4"
"ConsiderSelfOnly","0","0","3010","44373","37202","-28","4","0","0","0","0","55","7","16","5"
"CondiserEnemyPosition","0","0","16425","251225","214456","60","4","0","0","0","0","70","10","47","5"
"ConsiderSelfOnly","0","0","2355","30448","25018","-36","4","0","0","0","0","62","4","17","4"
"CondiserEnemyPosition","0","0","20404","312163","270383","46","4","0","0","0","0","73","17","31","6"
"ConsiderSelfOnly","0","0","4302","56635","46564","-4","4","0","0","0","0","66","6","22","4"
"CondiserEnemyPosition","0","0","40871","708246","630486","48","4","0","0","0","0","75","17","57","8"
"ConsiderSelfOnly","0","0","16247","170912","130578","-6","4","0","0","0","0","69","16","34","3"
"CondiserEnemyPosition","0","0","62730","1025560","889695","106","4","0","0","0","0","79","30","55","6"
"ConsiderSelfOnly","0","0","8042","127226","109417","-72","4","0","0","0","0","60","12","22","6"
"CondiserEnemyPosition","0","0","78489","968288","792883","92","4","0","0","0","0","81","31","67","4"
"ConsiderSelfOnly","0","0","16155","167764","128082","-30","4","0","0","0","0","61","17","35","3"
"CondiserEnemyPosition","0","0","104879","1433590","1200954","112","4","0","0","0","0","83","41","65","5"
"ConsiderSelfOnly","0","0","2956","45652","39180","-64","4","0","0","0","0","52","6","19","6"
"CondiserEnemyPosition","0","0","105037","1277905","1039904","122","4","0","0","0","0","88","38","69","4"
"ConsiderSelfOnly","0","0","1348","16815","13733","-60","4","0","0","0","0","47","2","22","4"
"CondiserEnemyPosition","0","0","61579","671077","527131","84","4","0","0","0","0","76","29","64","3"
"ConsiderSelfOnly","0","0","3451","46100","37963","-32","4","0","0","0","0","52","6","21","4"
"CondiserEnemyPosition","0","0","119133","1589903","1334865","94","4","0","0","0","0","78","48","66","5"
"ConsiderSelfOnly","0","0","9652","90192","66144","-30","4","0","0","0","0","57","9","41","2"
"CondiserEnemyPosition","0","0","109963","1438963","1203788","78","4","0","0","0","0","69","55","60","5"
"ConsiderSelfOnly","0","0","15655","173992","132392","-14","4","0","0","0","0","68","16","35","3"
"CondiserEnemyPosition","0","0","18882","241941","199568","32","4","0","0","0","0","76","10","52","4"
"ConsiderSelfOnly","0","0","8057","79169","58853","-30","4","0","0","0","0","56","9","37","2"
"CondiserEnemyPosition","0","0","74051","923253","754524","118","4","0","0","0","0","82","32","61","4"
"ConsiderSelfOnly","0","0","1262","16012","13061","-60","4","0","0","0","0","46","2","22","4"
"CondiserEnemyPosition","0","0","65120","746031","596522","92","4","0","0","0","0","73","31","64","4"
