"player","score of AbaProReimplementation","score of PapadopoulosReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"PapadopoulosReimplementation","4","4","708","20470","15812","94","4","0","0","0","0","35","5","24","3"
"AbaProReimplementation","4","4","1335","60357","50097","0","4","0","0","0","0","38","19","12","5"
"PapadopoulosReimplementation","4","5","1844","47812","35645","42","4","0","0","0","0","46","13","17","3"
"AbaProReimplementation","4","5","611","27724","22612","-93","4","0","0","0","0","31","9","16","4"
"PapadopoulosReimplementation","4","5","2623","85598","70663","784","4","0","0","0","0","41","11","29","4"
"AbaProReimplementation","4","5","432","16520","12894","-93","4","0","0","0","0","30","5","20","3"
"PapadopoulosReimplementation","4","5","1821","54793","44465","774","4","0","0","0","0","39","8","28","4"
"AbaProReimplementation","4","5","731","24456","18892","-94","4","0","0","0","0","33","5","30","3"
"PapadopoulosReimplementation","4","5","6222","205459","172955","810","4","0","0","0","0","39","23","34","5"
"AbaProReimplementation","4","5","1964","86827","72879","-91","4","0","0","0","0","35","27","13","5"
"PapadopoulosReimplementation","4","5","1557","47894","38919","790","4","0","0","0","0","46","7","25","4"
"AbaProReimplementation","4","5","1107","52620","45173","-92","4","0","0","0","0","37","16","11","6"
"PapadopoulosReimplementation","4","5","3684","114761","93468","820","4","0","0","0","0","43","16","28","4"
"AbaProReimplementation","4","5","818","29438","23971","-93","4","0","0","0","0","34","7","20","4"
"PapadopoulosReimplementation","4","5","4284","138590","115301","822","4","0","0","0","0","42","15","34","5"
"AbaProReimplementation","4","5","2213","86621","68991","-93","4","0","0","0","0","40","20","20","4"
"PapadopoulosReimplementation","4","5","1609","50842","41038","798","4","0","0","0","0","42","9","22","4"
"AbaProReimplementation","4","5","3296","121160","96081","-92","4","0","0","0","0","38","24","25","3"
"PapadopoulosReimplementation","4","5","1378","40099","31619","790","4","0","0","0","0","46","7","22","3"
"AbaProReimplementation","4","5","1233","55117","46668","-95","4","0","0","0","0","38","17","11","6"
"PapadopoulosReimplementation","4","5","5321","202108","174271","838","4","0","0","0","0","40","18","35","6"
"AbaProReimplementation","4","5","756","26624","21137","-94","4","0","0","0","0","29","7","23","4"
"PapadopoulosReimplementation","4","5","2486","80176","62860","864","4","0","0","0","0","40","15","26","3"
"AbaProReimplementation","4","5","557","19987","16109","-96","4","0","0","0","0","29","7","16","4"
"PapadopoulosReimplementation","4","5","3970","138406","115875","856","4","0","0","0","0","36","19","30","5"
"AbaProReimplementation","4","5","467","18288","14662","-95","4","0","0","0","0","26","6","21","4"
"PapadopoulosReimplementation","4","5","2549","86381","69404","882","4","0","0","0","0","35","17","26","4"
"AbaProReimplementation","4","5","627","28673","23297","-95","4","0","0","0","0","28","12","14","4"
"PapadopoulosReimplementation","4","5","1955","67987","54732","834","4","0","0","0","0","37","12","27","4"
"AbaProReimplementation","4","5","342","14202","11664","-95","4","0","0","0","0","28","5","16","4"
"PapadopoulosReimplementation","4","5","2358","83682","68907","846","4","0","0","0","0","34","20","20","4"
"AbaProReimplementation","4","5","166","6082","4674","-96","4","0","0","0","0","27","3","14","3"
"PapadopoulosReimplementation","4","5","4529","168322","143107","800","4","0","0","0","0","38","19","32","5"
"AbaProReimplementation","4","5","850","41053","33883","-92","4","0","0","0","0","29","17","13","5"
"PapadopoulosReimplementation","4","5","1260","44480","37162","756","4","0","0","0","0","45","4","35","5"
"AbaProReimplementation","4","5","1675","83239","69042","-90","4","0","0","0","0","37","27","12","5"
"PapadopoulosReimplementation","4","5","3019","121748","104594","782","4","0","0","0","0","42","15","25","6"
"AbaProReimplementation","4","5","520","22681","18439","-94","4","0","0","0","0","32","8","14","4"
"PapadopoulosReimplementation","4","5","4255","143361","116351","804","4","0","0","0","0","38","25","27","4"
"AbaProReimplementation","4","5","482","18200","14570","-94","4","0","0","0","0","35","6","14","4"
"PapadopoulosReimplementation","4","5","4177","145577","121901","788","4","0","0","0","0","44","27","18","5"
"AbaProReimplementation","4","5","989","45001","37792","-93","4","0","0","0","0","38","15","11","5"
"PapadopoulosReimplementation","4","5","5986","195754","163750","776","4","0","0","0","0","52","22","25","5"
"AbaProReimplementation","4","5","2601","115210","95382","-92","4","0","0","0","0","39","25","18","5"
"PapadopoulosReimplementation","4","5","3417","94900","75793","768","4","0","0","0","0","50","12","29","4"
"AbaProReimplementation","4","5","1259","39817","30635","-93","4","0","0","0","0","38","9","24","3"
"PapadopoulosReimplementation","4","5","1999","66475","54836","772","4","0","0","0","0","47","7","30","4"
"AbaProReimplementation","4","5","839","33894","27494","-93","4","0","0","0","0","34","9","18","4"
"PapadopoulosReimplementation","4","5","2683","78185","63225","750","4","0","0","0","0","48","12","23","4"
"AbaProReimplementation","4","5","752","30462","24934","-92","4","0","0","0","0","36","5","26","4"
"PapadopoulosReimplementation","4","5","8527","278300","230851","822","4","0","0","0","0","46","26","38","4"
"AbaProReimplementation","4","5","2276","107139","91279","-92","4","0","0","0","0","38","19","20","6"
"PapadopoulosReimplementation","4","5","5398","160724","130520","790","4","0","0","0","0","47","19","31","4"
"AbaProReimplementation","4","5","2078","78803","65098","-92","4","0","0","0","0","36","16","22","4"
"PapadopoulosReimplementation","4","5","7307","261567","227207","818","4","0","0","0","0","41","24","32","6"
"AbaProReimplementation","4","5","2395","94417","79040","-91","4","0","0","0","0","35","19","21","5"
"PapadopoulosReimplementation","4","5","4329","134339","110963","818","4","0","0","0","0","44","17","28","4"
"AbaProReimplementation","4","5","2511","105751","90302","-92","4","0","0","0","0","34","21","19","6"
"PapadopoulosReimplementation","4","5","3401","123938","106462","832","4","0","0","0","0","42","15","26","6"
"AbaProReimplementation","4","5","420","13388","10519","-92","4","0","0","0","0","32","4","20","3"
"PapadopoulosReimplementation","4","5","4798","166595","140910","818","4","0","0","0","0","42","19","30","5"
"AbaProReimplementation","4","5","993","37233","30882","-92","4","0","0","0","0","30","9","21","5"
"PapadopoulosReimplementation","4","5","11449","470265","421188","816","4","0","0","0","0","44","30","35","8"
"AbaProReimplementation","4","5","1381","46791","38377","-91","4","0","0","0","0","42","10","18","4"
"PapadopoulosReimplementation","4","5","4208","148147","127469","762","4","0","0","0","0","45","12","36","6"
"AbaProReimplementation","4","5","1442","55909","45547","-90","4","0","0","0","0","34","15","19","4"
"PapadopoulosReimplementation","4","5","4685","159605","136764","764","4","0","0","0","0","47","16","28","6"
"AbaProReimplementation","4","5","1446","55161","45440","-90","4","0","0","0","0","37","14","17","4"
"PapadopoulosReimplementation","4","5","7985","261513","225498","756","4","0","0","0","0","49","19","36","6"
"AbaProReimplementation","4","5","1658","53014","42602","-89","4","0","0","0","0","36","13","20","4"
"PapadopoulosReimplementation","4","5","3769","130915","113847","738","4","0","0","0","0","45","9","36","6"
"AbaProReimplementation","4","5","2836","107737","89086","-89","4","0","0","0","0","32","29","19","5"
"PapadopoulosReimplementation","4","5","6345","216295","188137","750","4","0","0","0","0","47","17","33","6"
"AbaProReimplementation","4","5","636","18571","14539","-91","4","0","0","0","0","34","6","18","3"
"PapadopoulosReimplementation","4","5","9262","364013","329877","732","4","0","0","0","0","45","20","36","9"
"AbaProReimplementation","4","5","1153","44524","37302","-89","4","0","0","0","0","32","17","12","5"
"PapadopoulosReimplementation","4","5","2675","88072","74649","746","4","0","0","0","0","39","12","26","5"
"AbaProReimplementation","4","5","1166","62375","54304","-88","4","0","0","0","0","32","25","8","7"
"PapadopoulosReimplementation","4","5","2750","71099","55010","742","4","0","0","0","0","44","14","24","3"
"AbaProReimplementation","4","5","274","10784","8208","-90","4","0","0","0","0","30","4","16","3"
